question,answer,reference
"למי מיועד ביטוח נסיעות ""דרכון פרימיום""?","בהתאם למידע באתר, מבוטחי בריאות ש.ר.פ פרימיום זכאים לרכוש ביטוח נסיעות לחו""ל פרימיום, המיועד לתת מענה רחב לצרכיהם בעת נסיעה לחו""ל.","https://www.harel-group.co.il/insurance/travel"
"מהי אפליקציית הראל חו""ל?","אפליקציית הראל חו""ל היא אפליקציה המלווה את המבוטח במהלך הנסיעה, מאפשרת לאתר רופאים בחו""ל, להאריך את הפוליסה, לקבל הנחה לביטוח בנסיעה הבאה ואף להגיש תביעה בעת הצורך.","https://www.harel-group.co.il/insurance/travel"
"אילו פעולות אפשר לבצע באפליקציית הראל חו""ל?","באפליקציית הראל חו""ל ניתן לאתר רופאים בחו""ל, להאריך את פוליסת הנסיעה, לקבל הנחה לביטוח בנסיעה הבאה ולהגיש תביעה אם נדרש, באופן זמין ונוח מהמכשיר הנייד.","https://www.harel-group.co.il/insurance/travel"
"האם כדאי להוריד את אפליקציית הראל חו""ל לפני הנסיעה?","מומלץ להוריד את אפליקציית הראל חו""ל לפני הטיסה, כיוון שהיא מלווה את הנוסע לכל אורך הנסיעה, מסייעת באיתור רופאים, הארכת פוליסה, קבלת הטבות והגשת תביעות במידת הצורך.","https://www.harel-group.co.il/insurance/travel"
"האם הראל מספקת עדכונים עקב המצב הביטחוני?","כן, בעמוד ביטוח הנסיעות לחו""ל מופיע קישור לעדכונים עקב המצב הביטחוני, שבו ניתן למצוא פרטים נוספים והבהרות רלוונטיות לנוסעים בתקופות ביטחוניות רגישות.","https://www.harel-group.co.il/insurance/travel"
"איפה אפשר למצוא תשובות לשאלות נפוצות על ביטוח הנסיעות?","בעמוד ביטוח הנסיעות לחו""ל של הראל מופיעה רשימה של שאלות שנשאלות לעיתים קרובות וכן קישור לעמוד המרכז את כל השאלות והתשובות בנושא.","https://www.harel-group.co.il/insurance/travel"
"מה נחשב ספורט אתגרי חובבני בביטוח הנסיעות של הראל?","בעמוד השאלות הנפוצות של ביטוח הנסיעות לחו""ל יש שאלה ייעודית המפרטת מה נחשב כספורט אתגרי חובבני, כאשר ההגדרה המלאה והפעילויות הכלולות מפורטות בתנאי הפוליסה ובעמוד זה.","https://www.harel-group.co.il/insurance/travel"
"איך אפשר להאריך את ביטוח הנסיעות לחו""ל?","הארכת ביטוח הנסיעות מתאפשרת באמצעות אפליקציית הראל חו""ל או באמצעות יצירת קשר עם הראל, כאשר ההנחיות מופיעות בשאלות הנפוצות ובעמוד האפליקציה.","https://www.harel-group.co.il/insurance/travel"
"מה עליי לעשות אם אני בחו""ל והמזוודה לא הגיעה?","במקרה שהמזוודה לא הגיעה בחו""ל, יש לפעול לפי ההנחיות המופיעות בשאלות הנפוצות, לדווח מיד לחברת התעופה, לשמור מסמכים רלוונטיים ולהגיש תביעה בהתאם לתנאי כיסוי הכבודה בפוליסה.","https://www.harel-group.co.il/insurance/travel"
"האם יש כיסוי להפסד תשלומים אם קיבלתי צו 8 או צו 9?","בעמוד השאלות הנפוצות מצוינת שאלה לגבי צו 8 או צו 9, ובמסגרתה מוסבר האם וכיצד קיים כיסוי להפסד תשלומים בעקבות ביטול או קיצור נסיעה עקב קבלת צו, בהתאם לתנאי הפוליסה הספציפית.","https://www.harel-group.co.il/insurance/travel"
"האם יש כיסוי אם אני בשירות קבע או סדיר ונקראתי לפעילות מבצעית?","בשאלות הנפוצות בביטוח נסיעות לחו""ל מופיעה התייחסות לשירות קבע או סדיר ויציאה לפעילות מבצעית, שם מפורט אם יש כיסוי להפסד תשלומים על ביטול או קיצור נסיעה במקרה כזה, לפי תנאי הביטוח.","https://www.harel-group.co.il/insurance/travel"
"מתי צריך לרכוש ביטוח נסיעות עם החמרה של מצב רפואי קודם?","השאלות הנפוצות בביטוח הנסיעות כוללות הסבר מתי נדרש לרכוש ביטוח נסיעות הכולל החמרה של מצב רפואי קודם, כדי לוודא שהכיסוי יתאים למצב הרפואי הקיים של המבוטח.","https://www.harel-group.co.il/insurance/travel"
"מהם היתרונות של ביטוח הנסיעות לחו""ל בהראל?","ביטוח הנסיעות של הראל מציע מגוון כיסויים רחב, שירותי Air Doctor לתשלום לרופא, יחידת חילוץ והצלה עם מוקד 24/7, כיסוי לכבודה, הטבות כספיות ואפליקציה ייעודית לניהול הביטוח במהלך הנסיעה.","https://www.harel-group.co.il/insurance/travel"
"כיצד ביטוח הנסיעות של הראל מלווה אותי לפני הנסיעה?","כבר מרגע הזמנת הטיסה, ביטוח הנסיעות של הראל מעניק כיסויים והרחבות רלוונטיים ובאפשרותך להיעזר במידע, טיפים והטבות באתר ובאפליקציה להכנה נכונה ובטוחה לנסיעה.","https://www.harel-group.co.il/insurance/travel"
"כיצד הביטוח של הראל מגן עליי בזמן השהות בחו""ל?","במהלך השהות בחו""ל הביטוח מספק כיסוי רפואי, שירותי רופאים דרך Air Doctor, מוקד חירום וחילוץ, כיסוי לכבודה ועוד שירותים המסייעים להתמודד עם אירועים בלתי צפויים.","https://www.harel-group.co.il/insurance/travel"
"האם הביטוח של הראל רלוונטי גם לאחר החזרה לארץ?","הראל מציינת שביטוח הנסיעות ותהליכי השירות מלווים את המבוטח גם לאחר החזרה לארץ, למשל דרך הגשת תביעות באמצעות האפליקציה והמשך קבלת ליווי במקרה הצורך.","https://www.harel-group.co.il/insurance/travel"
"לאיזה סוגי נסיעות מתאים ביטוח הנסיעות של הראל?","ביטוח הנסיעות של הראל מיועד למגוון רחב של נסיעות, כולל חופשה משפחתית, טיול אתגרי ונסיעת עסקים, וניתן להתאים את סוג הפוליסה לצרכים של כל נסיעה.","https://www.harel-group.co.il/insurance/travel"
"האם יש באתר תכנים שמכינים אותי טוב יותר לנסיעה?","כן, באתר קיימים תכנים ייעודיים כמו כתבות על לונדון, טיפים לחופשת סקי, טיפים לאריזה חכמה וטיפים לטיול בטיחותי, המיועדים לעזור להתכונן בצורה נוחה ובטוחה יותר.","https://www.harel-group.co.il/insurance/travel"
"איפה אפשר לקרוא טיפים לחופשת סקי בטוחה?","בעמוד ביטוח הנסיעות לחו""ל יש קישור לכתבה ""מתגלגלים בשלג – חופשת סקי מתחילה בביטחון"", שבה מרוכזים טיפים והמלצות להתארגנות נכונה לחופשת סקי.","https://www.harel-group.co.il/insurance/travel"
"האם יש טיפים לאריזה חכמה לפני טיסה?","כן, באתר יש כתבה בשם ""טיפים מנצחים לאריזה חכמה"", שמסבירה כיצד לארוז בצורה יעילה וחסכונית לקראת הטיסה.","https://www.harel-group.co.il/insurance/travel"
"איפה ניתן למצוא טיפים לטיול בטיחותי בחו""ל?","בעמוד הביטוח יש קישור לכתבה ""מטיילים בטוח: טיפים לטיול בטיחותי"", ובה המלצות והנחיות חשובות של יחידת הראל 669 לטיול בטוח יותר.","https://www.harel-group.co.il/insurance/travel"
"האם יש מידע על טיול בטוח במזג אוויר משתנה?","כן, קיימת כתבה על טיול בטוח במזג אוויר משתנה, שמציעה מידע על עונות הטיולים המומלצות ביעדים פופולריים וטיפים לבטיחות במסלולים שונים, בתוספת המלצות של הראל 669.","https://www.harel-group.co.il/insurance/travel"
"האם יש באתר תוכן ייעודי על לונדון?","כן, באתר מופיעה כתבה בשם ""לונדון כן מחכה לי"", שמרכזת עשר עובדות מפתיעות על לונדון ומסייעת להכיר את היעד לפני הנסיעה.","https://www.harel-group.co.il/insurance/travel"
"מהי ההמלצה הראשונה לפני רכישת ביטוח נסיעות?","מומלץ לתכנן את סוג הנסיעה, להבין אילו פעילויות מתוכננות (נופש, עסקים או ספורט אתגרי) ולבחור מוצר ביטוח מתאים כמו דרכון First Class או דרכון פרימיום, בהתאם לצרכים ולכיסויים הנדרשים.","https://www.harel-group.co.il/insurance/travel"
"האם כדאי לרכוש את הביטוח סמוך למועד הזמנת הטיסה?","כן, הראל מציינת שביטוח הנסיעות נועד ללוות אתכם כבר מרגע הזמנת הטיסה, ולכן מומלץ לרכוש את הביטוח סמוך להזמנה כדי ליהנות מכיסוי גם לאירועים לפני מועד הטיסה, לפי תנאי הפוליסה.","https://www.harel-group.co.il/insurance/travel"
"האם ניתן להגיש תביעה על אירוע שקרה בחו""ל דרך האפליקציה?","כן, אפליקציית הראל חו""ל מאפשרת להגיש תביעה במקרה הצורך, כך שניתן לתעד ולשלוח מסמכים ישירות מהטלפון, בהתאם לסוג האירוע והכיסוי שבפוליסה.","https://www.harel-group.co.il/insurance/travel"
"האם ביטוח הנסיעות כולל כיסוי לחילוץ והצלה?","כן, הראל מפעילה את יחידת ""הראל 669"" המספקת שירותי חילוץ והצלה לנוסעים בחו""ל, לצד מוקד חירום זמין 24/7, בכפוף לתנאי הכיסוי בפוליסה.","https://www.harel-group.co.il/insurance/travel"
"האם ניתן לקבל עזרה רפואית בחו""ל גם בלי לדעת למי לפנות?","כן, בעזרת שירות Air Doctor ואפליקציית הראל חו""ל ניתן לאתר רופאים זמינים בחו""ל, לקבוע תור ולקבל טיפול רפואי מתאים כאשר התשלום לרופא מבוצע על ידי הראל בהתאם לפוליסה.","https://www.harel-group.co.il/insurance/travel"
"האם הראל מספקת מידע על מזג האוויר ביעדים שונים?","באתר מופיעה כתבה על טיול בטוח במזג אוויר משתנה, הכוללת מידע על עונות טיול מומלצות ביעדי חו""ל פופולריים וטיפים להתאמת ההכנות למזג האוויר ביעד.","https://www.harel-group.co.il/insurance/travel"
"האם מבוטחי בריאות ש.ר.פ פרימיום מקבלים תנאים מיוחדים בביטוח נסיעות?","כן, מצוין שמבוטחי בריאות ש.ר.פ פרימיום זכאים לרכוש ביטוח נסיעות לחו""ל פרימיום, שמציע כיסויים ברמת פרימיום בהתאם לתנאי המוצר.","https://www.harel-group.co.il/insurance/travel"
"איך ניתן להגיע לכל השאלות והתשובות בנושא ביטוח נסיעות?","בעמוד ביטוח הנסיעות לחו""ל יש קישור ""לכל השאלות והתשובות"", שדרכו ניתן להיכנס לעמוד מרוכז עם מגוון גדול של שאלות ותשובות מפורטות בנושא הביטוח.","https://www.harel-group.co.il/insurance/travel"
"מה היתרון בשימוש באפליקציית הראל חו""ל במהלך הנסיעה?","השימוש באפליקציית הראל חו""ל מאפשר לנהל את הביטוח בצורה נוחה, לאתר רופאים, להאריך פוליסה, לקבל הטבות כמו Cashback ולהגיש תביעות, כך שניהול הביטוח נעשה מכל מקום ובכל זמן.","https://www.harel-group.co.il/insurance/travel"
