question,answer,reference
"האם ביטוח שיניים הראל כולל שיקום הפה?","כן, כולל שיקום מלא על שיניים טבעיות או שתלים.","https://www.harel-group.co.il/insurance/dental"
"מה נכלל בניתוחי שיניים בביטוח הראל?","ניתוחי חניכיים, חשיפת שתלים, הסרת גידולים ועקירות מורכבות.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים מכסה ציפויים קוסמטיים?","לא, ציפויים אסתטיים אינם נכללים בכיסוי הביטוחי.","https://www.harel-group.co.il/insurance/dental"
"מה גיל המינימום לביטוח שיניים הראל?","אין גיל מינימום, ניתן לבטח תינוקות וילדים קטנים.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן להגדיל כיסוי ביטוח שיניים?","כן, ניתן להוסיף כיסויים נוספים או לשדרג לפוליסה מקיפה יותר.","https://www.harel-group.co.il/insurance/dental"
"מה קורה אם צריך טיפול דחוף בסופ"ש?","טיפולי חירום זמינים גם בסופי שבוע דרך רופאי הסדר.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל כולל טיפולי מניעה?","כן, כולל ביקורות שנתיות וניקוי אבנית לחצי שנה.","https://www.harel-group.co.il/insurance/dental"
"איך בודקים זכאות לטיפול בביטוח שיניים?","דרך אפליקציית הראל או מוקד שירות הלקוחות לפני הטיפול.","https://www.harel-group.co.il/insurance/dental"
"מהי תקופת ההמתנה לטיפולי שתלים?","תלוי בפוליסה, בדרך כלל 6-12 חודשים לטיפולים גדולים.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים ניתן לשילוב עם ביטוח בריאות?","כן, ביטוח שיניים משתלב עם ביטוח בריאות להגנה כוללת.","https://www.harel-group.co.il/insurance/dental"
