question,answer,reference
"האם אפשר לרכוש כמה פוליסות ביטוח חיים?","כן, ניתן לרכוש מספר פוליסות ביטוח חיים, וסכומי הפיצויים אינם תלויים זה בזה.","https://www.harel-group.co.il/insurance/life"
"מי זכאי לפיצוי מביטוח חיים?","זכאים לפיצוי המוטבים הרשומים בפוליסה. אם אין מוטבים, הכסף מועבר ליורשים החוקיים.","https://www.harel-group.co.il/insurance/life"
"מתי משלמים את סכום הביטוח?","סכום הביטוח משולם תוך זמן קצר לאחר אישור התביעה ואסמכתאות הרפואיות/מוות.","https://www.harel-group.co.il/insurance/life"
"האם יש תקופת המתנה בביטוח חיים?","בדרך כלל אין תקופת המתנה לכיסוי מוות, אך עשויה להיות תקופת חסד לכיסויים נוספים.","https://www.harel-group.co.il/insurance/life"
"מה משפיע על מחיר ביטוח חיים?","גיל, מצב בריאותי, עישון, מקצוע, סכום ביטוח ותקופת הפוליסה משפיעים על הפרמיה.","https://www.harel-group.co.il/insurance/life"
"האם אפשר לשנות סכום ביטוח חיים?","כן, ניתן להגדיל/להקטין סכום ביטוח או להוסיף כיסויים דרך שירות לקוחות או סוכן.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים כולל פטירה מתאונה בלבד?","לא, ביטוח חיים סטנדרטי מכסה פטירה מכל סיבה, כולל תאונות ומחלות.","https://www.harel-group.co.il/insurance/life"
"מה קורה אם המבוטח מתגרש?","ניתן לעדכן מוטבים או לשנות פוליסה בהתאם לשינויים משפחתיים דרך הראל.","https://www.harel-group.co.il/insurance/life"
"האם ניתן לבטל ביטוח חיים?","כן, ניתן לבטל פוליסה ולקבל החזר פרופורציונלי (לפני תקופת הודעה מוקדמת).","https://www.harel-group.co.il/insurance/life"
"איך מגישים תביעת ביטוח חיים בהראל?","יש להגיש טופס תביעה עם תעודת פטירה, אישורים רפואיים ותעודות זהות של מוטבים.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח חיים לילדים בהראל?","ביטוח חיים לילדים מספק הגנה למשפחה במקרה פטירת ילד, עם פיצוי חד-פעמי.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים מכסה התאבדות?","בדרך כלל יש סעיף חריגה להתאבדות בשנה-שנתיים הראשונות של הפוליסה.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח מנהלים בהראל?","ביטוח מנהלים משלב חיסכון ופנסיה עם כיסויי ביטוח חיים ונכות.","https://www.harel-group.co.il/insurance/life"
"האם ניתן לשלם ביטוח חיים בתשלומים?","כן, ניתן לשלם פרמיות חודשיות, דו-חודשיות או שנתיות בהוראת קבע או כרטיס אשראי.","https://www.harel-group.co.il/insurance/life"
"מה קורה אם מפסיקים לשלם פרמיות?","הפוליסה עלולה לפוג או להפוך למשנה ערך, תלוי בתנאי הפוליסה.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים דורש בדיקת רפואית?","לסכומים גבוהים עשויה להידרש הצהרת בריאות או בדיקה רפואית.","https://www.harel-group.co.il/insurance/life"
"מהו סכום ביטוח מומלץ?","סכום מומלץ מכסה משכנתא + 10-15 שנות הכנסה ממוצע + הוצאות חינוך לילדים.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים תקף בחו\"ל?","כן, הכיסוי תקף בכל העולם, בכל מקום שמתרחשת הפטירה.","https://www.harel-group.co.il/insurance/life"
"מה קורה אם המבוטח נכה ולא יכול לעבוד?","כיסוי נכות/אובדן כושר משלם קצבה חודשית עד גיל פרישה או החלמה.","https://www.harel-group.co.il/insurance/life"
"האם ניתן להגדיל ביטוח חיים עם הגיל?","כן, ניתן להגדיל סכום ביטוח או להוסיף כיסויים בהתאם לצרכים המשתנים.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח חיים קבוצתי דרך מקום עבודה?","מעסיקים רוכשים ביטוח חיים קבוצתי לעובדים במחיר מוזל.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים משפיע על פנסיה?","ביטוח חיים משלים פנסיה ומספק הגנה מיידית, בניגוד לחיסכון ארוך טווח.","https://www.harel-group.co.il/insurance/life"
"איך בודקים סטטוס תביעת ביטוח חיים?","דרך אזור אישי באתר הראל או מוקד שירות הלקוחות.","https://www.harel-group.co.il/insurance/life"
"מה קורה אם מוטב מת לפני המבוטח?","יש לעדכן מוטב חלופי או שהכסף יעבור ליורשים החוקיים.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים כולל פטירת ילד מתחת לגיל 18?","כן, ביטוח חיים לילדים מכסה פטירה מכל סיבה.","https://www.harel-group.co.il/insurance/life"
"מהו גיל פרישה בביטוח חיים?","בדרך כלל עד גיל 65-75, תלוי בפוליסה ובמצב הבריאותי.","https://www.harel-group.co.il/insurance/life"
"האם ניתן להמיר ביטוח חיים לחיסכון?","לעיתים ניתן להמיר פוליסת ריסק לפוליסת חיסכון עם ערך פדיון.","https://www.harel-group.co.il/insurance/life"
"מה ההבדל בין ביטוח חיים לביטוח סיעודי?","ביטוח חיים משלם במוות, סיעודי משלם במצב תלות מלאה באחרים.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים מכסה פעילויות ספורט אתגרי?","עשויה להיות חריגה לפעילויות סיכון גבוה, יש לבדוק בפוליסה.","https://www.harel-group.co.il/insurance/life"
"איך מחשבים כמה ביטוח חיים לקנות?","מכסים חובות + הכנסה שנתית × מספר שנים עד גיל פרישה.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים ניתן להעברה למוטב בחיים?","המוטב מקבל את הכסף רק לאחר פטירת המבוטח.","https://www.harel-group.co.il/insurance/life"
"מה קורה אם המבוטח חולה במחלה קשה?","כיסוי מחלות קשות משלם פיצוי חד-פעמי בנוסף לכיסוי מוות.","https://www.harel-group.co.il/insurance/life"
"האם ניתן לקבל הצעת מחיר לביטוח חיים אונליין?","כן, באתר הראל ניתן לקבל הצעת מחיר ראשונית דרך טופס מקוון.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח חיים זמני?","פוליסה לתקופה מוגבלת (למשל 20 שנה) עד שהילדים גדלים.","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים כולל ביטוח נכות ילדים?","כן, ניתן להוסיף כיסוי נכות לילדים בפוליסת הורים.","https://www.harel-group.co.il/insurance/life"
"מה קורה לפוליסה אם המבוטח עובר לחו\"ל?","הפוליסה תקפה, אך יש לעדכן כתובת ולוודא תשלום פרמיות.","https://www.harel-group.co.il/insurance/life"
"האם יש הנחות לביטוח חיים קבוצתי?","כן, פוליסות קבוצתיות דרך מעסיק או ארגון זולות יותר.","https://www.harel-group.co.il/insurance/life"
"איך מוסיפים ילד חדש לפוליסת ביטוח חיים?","יש לפנות לשירות לקוחות להוספת מבוטח חדש לפוליסה קיימת.","https://www.harel-group.co.il/insurance/life"
