question,answer,reference
"לאיזה סוג ביטוח שייך ביטוח משכנתא?","ביטוח משכנתא הוא סוג ביטוח שמבטיח כיסוי להחזרי משכנתא במקרה אירועים מסוימים, והוא מופיע כקטגוריה ייעודית בתוך עמוד מוצרי הביטוח של הראל.","https://www.harel-group.co.il/insurance/"
"האם יש ביטוח מיוחד לתיירים ולעובדים זרים בישראל?","כן, ברשימת מוצרי הביטוח מופיע 'ביטוח עובדים זרים ותיירים', המיועד לתת מענה ביטוחי רפואי או אחר לאוכלוסיות אלו השוהות בישראל.","https://www.harel-group.co.il/insurance/"
"האם הראל מציעה ביטוח שיניים נפרד מביטוח בריאות?","כן, ביטוח שיניים מופיע כקטגוריה נפרדת ברשימת המוצרים, כך שניתן לבחור בו כמוצר ייעודי בנוסף או ללא קשר לביטוח הבריאות הכללי.","https://www.harel-group.co.il/insurance/"
"מה מטרת ביטוח מחלות קשות של הראל?","ביטוח מחלות קשות הוא מוצר שמטרתו לספק כיסוי כלכלי חד-פעמי או מתמשך במקרה גילוי מחלה קשה המוגדרת בפוליסה, והוא מופיע בעמוד מוצרי הביטוח כמוצר עצמאי.","https://www.harel-group.co.il/insurance/"
"האם בעמוד מוצרי הביטוח יש חלוקה לפי תחומי חיים?","העמוד מרכז את המוצרים תחת כותרת 'איזה מוצר מעניין אותך?' ומציג מגוון ביטוחים המקיפים תחומי חיים שונים: דירה, בריאות, חיים, רכב, נסיעות, עבודה ועסק.","https://www.harel-group.co.il/insurance/"
"אם אני בעל עסק, איזה ביטוח רלוונטי עבורי בעמוד זה?","בעלי עסקים יכולים לבחור בקטגוריית 'ביטוח עסק' בעמוד מוצרי הביטוח כדי לקבל מידע על כיסויים המיועדים להגן על העסק שלהם.","https://www.harel-group.co.il/insurance/"
"האם ניתן לראות מאותו עמוד גם ביטוחי בריאות וגם ביטוחי רכוש?","כן, בעמוד מוצרי הביטוח מרוכזים גם ביטוחי בריאות (בריאות, שיניים, מחלות קשות, סיעודי) וגם ביטוחי רכוש ואחריות (דירה, רכב, עסק, משכנתא) תחת אותה רשימה.","https://www.harel-group.co.il/insurance/"
"מה היתרון בריכוז כל המוצרים בעמוד אחד ללקוח?","ריכוז כל מוצרי הביטוח בעמוד אחד מאפשר ללקוח להשוות במהירות בין תחומי ביטוח שונים, לבחור את התחום הרלוונטי לו ולעבור לעמוד המוצר לקבלת פרטים והצעה מותאמת.","https://www.harel-group.co.il/insurance/"
"האם ניתן לעבור מעמוד מוצרי הביטוח לאזור האישי?","מעבר מאזור מוצרי הביטוח לאזור האישי נעשה בדרך כלל דרך התפריט העליון באתר, שבו קיים קישור להתחברות לאזור האישי של הראל לניהול ביטוחים קיימים.","https://www.harel-group.co.il/insurance/"
"האם אפשר לקבל ייעוץ לפני בחירה בביטוח מסוים?","מהעמוד ניתן לעבור לעמודי המוצרים, ושם בדרך כלל קיימות אפשרויות להשארת פרטים ליצירת קשר או קבלת ייעוץ טלפוני מנציג ביטוח של הראל.","https://www.harel-group.co.il/insurance/"
"אם אינני יודע איזה סוג ביטוח אני צריך, מה כדאי לעשות בעמוד זה?","אפשר לעיין ברשימת המוצרים, לקרוא את הכותרות ולבחור את התחום שנראה מתאים (למשל בריאות או דירה), ואז ללחוץ על 'למידע והצטרפות' כדי להבין יותר על הכיסוי לפני החלטה.","https://www.harel-group.co.il/insurance/"
"האם ביטוח נסיעות לחו\"ל מופיע יחד עם שאר ביטוחי הבריאות?","ביטוח נסיעות לחו\"ל מופיע באותה רשימה כללית של מוצרי הביטוח, לצד ביטוחי בריאות וחיים, כך שניתן להגיע אליו מאותו עמוד ראשי.","https://www.harel-group.co.il/insurance/"
"האם בעמוד מוצג מידע מפורט כמו תנאי פוליסה?","בעמוד מוצרי הביטוח הראשי מוצגות רק כותרות המוצרים וקישורים; תנאי הפוליסה המפורטים נמצאים בעמודים הייעודיים של כל מוצר לאחר לחיצה על 'למידע והצטרפות'.","https://www.harel-group.co.il/insurance/"
"האם הראל מפרידה בין ביטוח חיים לבין ביטוח אובדן כושר עבודה בעמוד?","כן, ביטוח חיים וביטוח אובדן כושר עבודה מופיעים כקטגוריות נפרדות ברשימת מוצרי הביטוח, וכל אחד מוביל לעמוד המוצר המתאים לו.","https://www.harel-group.co.il/insurance/"
"אם אני צריך גם ביטוח רכב וגם ביטוח דירה, האם אפשר להתחיל משם?","כן, בעמוד מוצרי הביטוח ניתן לבחור גם 'ביטוח רכב' וגם 'ביטוח דירה', להיכנס לכל אחד בנפרד, לקבל מידע ולהצטרף לכל ביטוח לפי הצורך.","https://www.harel-group.co.il/insurance/"
"האם בעמוד מוצרי הביטוח יש תפריט ניווט נוסף?","הטקסט בעמוד כולל קישורי דלג לתוכן ראשי ולתפריט תחתון, מה שמאפשר גם גישה מהירה לחלקים נוספים באתר כמו שירות לקוחות, אזור אישי או מידע חשוב אחר.","https://www.harel-group.co.il/insurance/"
"האם הראל מציעה גם ביטוח סיעודי כעצמאי ולא רק כהרחבה?","כן, ביטוח סיעודי מופיע כמוצר עצמאי ברשימת מוצרי הביטוח, עם קישור 'למידע והצטרפות' שמוביל לעמוד סיעוד ייעודי.","https://www.harel-group.co.il/insurance/"
"האם כל ביטוח ברשימה זמין להצטרפות אונליין?","לכל מוצר מצוין 'למידע והצטרפות', וברוב המקרים ניתן להתחיל תהליך הצטרפות אונליין או להשאיר פרטים; אפשרויות ההצטרפות המדויקות מפורטות בעמוד של כל מוצר.","https://www.harel-group.co.il/insurance/"
"מהו השימוש העיקרי של עמוד 'מוצרי הביטוח שלנו'?","עמוד 'מוצרי הביטוח שלנו' נועד לשמש כשער כניסה לכל סוגי הביטוחים של הראל, ולאפשר ללקוחות לבחור את תחום הביטוח הרלוונטי ולהעמיק בו בעמוד הייעודי.","https://www.harel-group.co.il/insurance/"
"אם אני מחפש ביטוח שיניים לילדים במיוחד, מאיפה להתחיל?","הצעד הראשון הוא לבחור בעמוד מוצרי הביטוח את קטגוריית 'ביטוח שיניים', להיכנס לעמוד המוצר ומשם לבדוק בכיסויים ובהרחבות את ההתאמה לילדים ולצרכי המשפחה.","https://www.harel-group.co.il/insurance/"
"האם קיימת הפרדה בין ביטוח פרטי לבין ביטוח עסקי בעמוד זה?","כן, רוב המוצרים בעמוד מיועדים ללקוחות פרטיים (דירה, בריאות, חיים וכו'), וביטוח העסק מופיע כקטגוריה נפרדת המיועדת לעסקים.","https://www.harel-group.co.il/insurance/"
