question,answer,reference_url
"איך אפשר לקבל הצעת מחיר לביטוח רכב?","ניתן לקבל הצעת מחיר לביטוח רכב דרך האתר, על ידי מילוי פרטים על הנהג והרכב, או לפנות לנציג שירות טלפוני או לסוכן ביטוח.","https://www.harel-group.co.il/insurance/car"
"תוך כמה זמן מקבלים הצעה לביטוח רכב אונליין?","המערכת הדיגיטלית מאפשרת לקבל הצעה מותאמת ולבצע רכישה אונליין תוך דקות ספורות, בכפוף להזנת פרטים מלאים ואישור החברה.","https://www.harel-group.co.il/insurance/car"
"מה זה Upgrade מקיף לרכב?","Upgrade מקיף לרכב הוא מסלול ביטוח שמרחיב את הכיסוי המקיף הרגיל ויכול לכלול תנאים משופרים והרחבות נוספות, לפי ההצעה שתקבל.","https://www.harel-group.co.il/insurance/car"
"מה זה הראל סוויץ' לביטוח רכב?","הראל סוויץ' הוא ביטוח מקיף וחובה לרכב שבו התשלום נקבע לפי מספר הקילומטרים שאתה נוסע, בשילוב אפליקציה לניהול הביטוח והשירותים.","https://www.harel-group.co.il/insurance/car"
"למי מתאים ביטוח הראל סוויץ'?","ביטוח הראל סוויץ' מתאים במיוחד למי שנוסעים מעט ברכב, רוצים לשלם לפי שימוש ומעוניינים לנהל את הביטוח דרך אפליקציה.","https://www.harel-group.co.il/insurance/car"
"מה כוללת אפליקציית הראל סוויץ'?","באפליקציה ניתן להזמין גרר, לבקש רכב חלופי, לקבל ייעוץ משפטי ולהתעדכן בפרטי הפוליסה והקילומטרים, בהתאם לתנאי המוצר.","https://www.harel-group.co.il/insurance/car"
"מה זה הראל Charge?","הראל Charge הוא פתרון ביטוח לרכב חשמלי עם כיסויים מותאמים כמו כיסוי לנזקים לעמדת טעינה, גרירה עקב התרוקנות סוללה ועוד, לפי תנאי הפוליסה.","https://www.harel-group.co.il/insurance/car"
"מה כולל הכיסוי הביטוחי בפוליסת הראל Charge?","הכיסוי בפוליסת הראל Charge כולל בדרך כלל כיסויים ייעודיים לרכב חשמלי ולתשתית הטעינה, בנוסף לכיסויי ביטוח רכב סטנדרטיים, בהתאם לפוליסה שנרכשה.","https://www.harel-group.co.il/insurance/car"
"יש לכם ביטוח לרכב חשמלי?","כן, בהראל קיימים כיסויים מיוחדים לרכב חשמלי, כולל מוצר ייעודי בשם הראל Charge, עם הרחבות ייחודיות לרכבים חשמליים.","https://www.harel-group.co.il/insurance/car"
"מה זה ביטוח לנהג חדש?","ביטוח לנהג חדש הוא ביטוח רכב המותאם לנהגים בעלי רישיון לתקופה קצרה יחסית, וכולל תנאים ופרמיית ביטוח המתחשבת ברמת הסיכון של נהג חדש.","https://www.harel-group.co.il/insurance/car"
"מה זה ביטוח לנהג ותיק?","ביטוח לנהג ותיק מותאם לנהגים בעלי ותק רב בנהיגה, לעיתים עם היסטוריית נהיגה יציבה, ויכול להשפיע על מחיר הביטוח ועל תנאי הפוליסה.","https://www.harel-group.co.il/insurance/car"
"יש ביטוח למי שנוסע מעט ברכב?","כן, יש בהראל מסלולים למי שנוסעים מעט, כמו ביטוח לפי קילומטר (הראל סוויץ') המאפשר התאמת עלות הביטוח לשימוש בפועל ברכב.","https://www.harel-group.co.il/insurance/car"
"מהן ההרחבות האפשריות בביטוח רכב?","בין ההרחבות האפשריות ניתן למצוא ביטוח פנסים ומראות צד, כיסוי לנזקי גוף לכלבים וחתולים, הגנה משפטית והרחבות נוספות לפי הצורך.","https://www.harel-group.co.il/insurance/car"
"מה זה ביטוח פנסים ומראות צד אקסטרה?","זו הרחבה בביטוח רכב שמאפשרת כיסוי משופר לנזק לפנסים ולמראות צד, בהתאם לתנאים המפורטים בפוליסה.","https://www.harel-group.co.il/insurance/car"
"האם הביטוח מכסה נזק לכלב או חתול ברכב?","יש בהראל הרחבה שיכולה לכלול כיסוי לנזקי גוף לכלבים וחתולים ברכב במקרה אירוע מכוסה, בכפוף לתנאי הפוליסה.","https://www.harel-group.co.il/insurance/car"
"מהי הגנה משפטית בביטוח רכב?","הגנה משפטית היא הרחבה שיכולה לסייע במימון ליווי משפטי במקרים מסוימים הקשורים לתאונת דרכים או שימוש ברכב, בהתאם לתנאי הפוליסה.","https://www.harel-group.co.il/insurance/car"
"איך מוסיפים נהג מזדמן לביטוח?","בהראל ניתן להוסיף כיסוי לנהגים מזדמנים באופן מהיר, בין היתר באמצעות שליחת הודעת וואטסאפ למספר ייעודי או דרך ערוצים דיגיטליים אחרים של החברה.","https://www.harel-group.co.il/insurance/car"
"מה זה כיסוי לנהג מזדמן?","כיסוי לנהג מזדמן מאפשר לנהג שאינו מופיע כנהג קבוע בפוליסה לנהוג ברכב, תוך הרחבת הכיסוי הביטוחי לתקופה מוגבלת או לפי הסיכום בפוליסה.","https://www.harel-group.co.il/insurance/car"
"מה עושים במקרה של תאונת דרכים?","במקרה תאונה יש קודם לוודא בטיחות, לתעד את הפרטים והנזקים, ולהודיע בהקדם לחברת הביטוח באמצעי ההתקשרות הרשמיים לצורך פתיחת תביעה.","https://www.harel-group.co.il/insurance/car"
"איך מדווחים על תאונה עם הרכב?","ניתן לדווח על תאונה דרך האתר, האפליקציה או מוקד השירות הטלפוני של הראל, ולפעול לפי ההנחיות שיינתנו לגבי מסמכים ותיעוד נדרש.","https://www.harel-group.co.il/insurance/car"
"בתוך כמה זמן מתקבל החזר כספי מתביעה?","משך זמן הטיפול בתביעה ובהחזר הכספי תלוי בסוג האירוע, במסמכים שהוגשו ובתהליך הבירור, והחברה שואפת לטפל בתביעה בהקדם האפשרי.","https://www.harel-group.co.il/insurance/car"
"איך בודקים סטטוס תביעת רכב?","אפשר לבדוק את סטטוס התביעה דרך אזור אישי באתר, באפליקציה או באמצעות פנייה למוקד שירות, לפי פרטי התביעה שנמסרו בעת הדיווח.","https://www.harel-group.co.il/insurance/car"
"איך בודקים סטטוס גניבת רכב?","במקרה גניבה יש לדווח למשטרה ולחברה, ולאחר פתיחת התביעה אפשר לעקוב אחרי הסטטוס בערוצים הדיגיטליים או דרך מוקד השירות.","https://www.harel-group.co.il/insurance/car"
"איך בודקים סטטוס תביעת צד ג'?","סטטוס תביעת צד ג' ניתן לבדיקה בערוצים הדיגיטליים של הראל או באמצעות שירות הלקוחות, תוך שימוש בפרטי המקרה והתביעה.","https://www.harel-group.co.il/insurance/car"
"איך מאתרים נותני שירות שבהסכם עם הראל?","ניתן לאתר מוסכי הסדר, שמאים ונותני שירות אחרים שבהסדר עם הראל דרך מנוע חיפוש ייעודי באתר או בעזרת נציג שירות.","https://www.harel-group.co.il/insurance/car"
"למי פונים כדי לקבל רכב חלופי?","במקרה של כיסוי לרכב חלופי יש לפנות למוקד השירות או דרך האפליקציה, בהתאם להנחיות בפוליסה ולמצב התביעה.","https://www.harel-group.co.il/insurance/car"
"האם יש כיסוי לגרירה בביטוח רכב?","ברוב מסלולי הביטוח המקיף קיימת אפשרות לשירותי גרירה, בהתאם לתנאים ולכיסויים שנבחרו בפוליסה.","https://www.harel-group.co.il/insurance/car"
"האם יש הנחה למצטרפים חדשים?","לעיתים מוצעות הטבות והנחות למצטרפים חדשים לביטוח רכב, בהתאם למבצעים תקפים ולקריטריונים של החברה במועד ההצטרפות.","https://www.harel-group.co.il/insurance/car"
"האם אפשר לחדש ביטוח רכב אונליין?","כן, ניתן ברוב המקרים לבצע חידוש ביטוח רכב בצורה דיגיטלית דרך האתר, בכפוף לתנאים ולהצעה שתוצג לך באזור האישי או בתהליך החידוש.","https://www.harel-group.co.il/insurance/car"
"האם אפשר להעביר בעלות על ביטוח רכב?","שינוי בעלות או החלפת מבוטח בפוליסה מצריכים פנייה לחברה או לסוכן, מילוי טפסים מתאימים ואישור החברה בהתאם למדיניותה.","https://www.harel-group.co.il/insurance/car"
"יש לכם ביטוח למשאיות?","כן, בהראל מוצעים פתרונות ביטוח מקיף למשאיות, עם כיסויים מותאמים לסוג הרכב ולשימוש בו.","https://www.harel-group.co.il/insurance/car"
"יש ביטוח צד ג' לאופנוע?","בהראל ניתן לרכוש ביטוח צד ג' לאופנוע, לצד פתרונות נוספים לביטוח דו-גלגלי לפי סוג האופנוע וסוג השימוש.","https://www.harel-group.co.il/insurance/car"
"האם יש ביטוח לציוד מכני הנדסי (צמ""ה)?","כן, קיים ביטוח ייעודי לצמ""ה, הכולל כיסויים לכלים מכניים הנדסיים, בהתאם לפוליסה המבוקשת.","https://www.harel-group.co.il/insurance/car"
"האם יש ביטוח לרכב סחר ותו סוחר?","בהראל מוצע ביטוח סחר רכב ותו סוחר, המותאם לגורמים העוסקים במסחר ברכב ולצרכים המיוחדים שלהם.","https://www.harel-group.co.il/insurance/car"
"מה עושים אם הרכב נגנב?","אם הרכב נגנב יש לדווח מיד למשטרה, לקבל אישור על הגניבה, ולהודיע להראל לצורך פתיחת תביעה והמשך טיפול לפי הנחיות החברה.","https://www.harel-group.co.il/insurance/car"
"מהם היתרונות של ביטוח הרכב של הראל?","היתרונות כוללים מגוון מסלולים לבחירה, הרחבות רבות, שירותים דיגיטליים מתקדמים, פתרונות לרכב חשמלי ואפשרות תשלום לפי שימוש במסלולים ייעודיים.","https://www.harel-group.co.il/insurance/car"
"איך מצטרפים לביטוח רכב של הראל?","אפשר להצטרף דרך האתר בטופס מקוון לקבלת הצעה ורכישה, או דרך מוקד השירות וסוכני הביטוח של הראל.","https://www.harel-group.co.il/insurance/car"
