question,answer,reference
"מה נחשב 'דירה שאינה תפוסה'?","דירה שאינה תפוסה למעלה מ-60 ימים רצופים או בפועל לא התגוררו בה.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה כולל כיסוי צונאמי?","כן, בפוליסת 'אדירה זהב' הכיסוי לרעידת אדמה כולל גם צונאמי.","https://www.harel-group.co.il/insurance/apartment"
"איך בוחרים את סכום הכיסוי לתכולה?","יש להצהיר על ערך התכולה בעת רכישת הפוליסה, וניתן להגדיל את גבול הכיסוי לפי הצורך.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן להצטרף לביטוח דירה אונליין?","כן, ניתן להצטרף לביטוח דירה דרך עמוד ההצטרפות באתר הראל.","https://www.harel-group.co.il/insurance/apartment"
"מהם תנאי הפוליסה המלאים של אדירה זהב?","לתנאי הפוליסה המלאים של 'אדירה זהב' ניתן להוריד את המסמכים מהאתר.","https://www.harel-group.co.il/insurance/apartment/policies/adira-gold"
"האם ביטוח הדירה כולל שרברב חברה?","כן, חלק מהפוליסות כוללות כיסוי לנזקי מים וצנרת על ידי שרברב חברה או פרטי.","https://www.harel-group.co.il/insurance/apartment"
"למי ניתן לפנות עם שאלות על ביטוח דירה?","ניתן לפנות לשירות הלקוחות של הראל לקבלת מידע נוסף על ביטוח הדירה.","https://www.harel-group.co.il/insurance/apartment"
"האם יש כיסוי לרכב שפוגע במבנה?","כן, ביטוח מבנה מכסה תאונות שגורמות נזק למבנה עצמו, כמו כלי רכב שמתנגש בבית.","https://www.harel-group.co.il/insurance/apartment"
"מהו ביטוח רכוש בביטוח דירה?","ביטוח רכוש מגן על חפצים, תכשיטים ומכשירים השייכים למבוטח או בני משפחתו.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה מכסה פיצוץ דוד?","כן, הכיסוי חל על דוד ביתי לחימום מים בנפח עד 200 ליטר עם תו תקן.","https://www.harel-group.co.il/insurance/apartment"
"האם יש מדריך לביטוח דירה באתר הראל?","כן, בעמוד 'כל מה שצריך לדעת על ביטוח דירה' מופיעים טיפים חשובים לפני רכישה.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן לבטח רק תכולה ללא מבנה?","כן, שוכרי דירות יכולים לרכוש ביטוח תכולה בלבד ללא כיסוי מבנה.","https://www.harel-group.co.il/insurance/apartment"
"מה ההבדל בין ביטוח מבנה לביטוח תכולה?","ביטוח מבנה מגן על קירות ותשתיות הדירה, בעוד ביטוח תכולה מגן על החפצים האישיים.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה תקף לתכשיטים מחוץ לדירה?","כן, בפוליסת 'אדירה זהב' התכשיטים מכוסים גם מחוץ לדירה.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן לשלב ביטוח דירה עם ביטוחים אחרים?","כן, לקוחות ותיקים עשויים לקבל הנחות על שילוב מספר פוליסות.","https://www.harel-group.co.il/insurance/apartment"
"מה קורה אם הדירה נפגעת משיטפון?","נזקי טבע כולל שיטפונות מכוסים בביטוח הדירה של הראל.","https://www.harel-group.co.il/insurance/apartment"
"האם יש השתתפות עצמית בביטוח דירה?","גובה ההשתתפות העצמית תלוי בפוליסה ובמקרה הביטוח הספציפי.","https://www.harel-group.co.il/insurance/apartment"
"איך מחשבים את ערך התכולה לביטוח?","יש להעריך את שווי כל החפצים והרכוש בדירה בעת רכישת הפוליסה.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה כולל כיסוי משפטי?","חלק מהפוליסות כוללות סעיפים נוספים כמו ייצוג משפטי במקרים מסוימים.","https://www.harel-group.co.il/insurance/apartment"
"מה לעשות במקרה פריצה לדירה?","יש לדווח מיד להראל ולמשטרה, ולשמור את כל המסמכים להגשת תביעה.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן להאריך פוליסת ביטוח דירה אוטומטית?","חידוש הפוליסה מתבצע בדרך כלל אוטומטית אלא אם צוין אחרת.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה מכסה נזקי ברק?","כן, נזקי ברק נכללים בכיסוי נזקי טבע בביטוח הדירה.","https://www.harel-group.co.il/insurance/apartment"
