question,answer,reference
איך לבחור ביטוח לפי סוג הפעילות העסקית?,על ידי התאמת הכיסויים לפי פעילות העסק עם הסוכן.,https://www.harel-group.co.il/insurance/business
האם ביטוח כולל כיסוי לנזקי טבע?,כן — יש כיסוי לנזקי טבע ורעידת אדמה.,https://www.harel-group.co.il/insurance/business
מה זו תביעה ביטוחית?,בקשה לקבלת פיצוי על נזק שנגרם לעסק במסגרת הפוליסה.,https://www.harel-group.co.il/insurance/business
כיצד מגישים תביעה דרך האתר?,הנחיות מוגדרות באתר ואפשרות להוריד טפסים ותיעוד.,https://www.harel-group.co.il/insurance/business
האם ניתן לכלול כיסוי נגד פריצה?,כן — ביטוח רכוש כולל כיסוי נגד פריצה.,https://www.harel-group.co.il/insurance/business
מה קורה אם העסק מתרחב?,יש לעדכן את הראל כדי להבטיח כיסוי מתאים.,https://www.harel-group.co.il/insurance/business
האם ניתן לרכוש ביטוח לעסק קטן?,כן — הראל מציעה פתרונות גם לעסקים קטנים.,https://www.harel-group.co.il/insurance/business
מהו ביטוח “ימי ואווירי”?,כיסוי למטענים במהלך הובלה ימית או אווירית.,https://www.harel-group.co.il/insurance/business
מהי אחריות דירקטורים ונושאי משרה?,כיסוי תביעות משפטיות כנגד דירקטורים.,https://www.harel-group.co.il/insurance/business
האם הכיסויים מתאימים לעסקים בינוניים?,כן — ניתן להתאים פוליסה לעסקים בינוניים גם כן.,https://www.harel-group.co.il/insurance/business
לאיזה עסקים מתאים ביטוח העסק של הראל?,מתאים למסחר, תעשייה, משרדים וחברות שירות.,https://www.harel-group.co.il/insurance/business
כיצד להפסיק את הפוליסה?,יש לפנות לראל ולבצע סיום לפי תנאי הפוליסה.,https://www.harel-group.co.il/insurance/business
